Price,Close,High,Low,Open,Volume
Ticker,BTC=F,BTC=F,BTC=F,BTC=F,BTC=F
Date,,,,,
2023-01-26,23075.0,23285.0,22835.0,23100.0,11146
2023-01-27,23052.73046875,23090.0,22545.0,22955.0,7950
2023-01-30,22825.0,24080.0,22715.0,23900.0,5865
2023-01-31,23250.0,23410.0,22850.0,22870.0,3489
2023-02-01,23755.0,23965.0,22905.0,23335.0,5605
2023-02-02,24005.0,24450.0,23550.0,23940.0,7693
2023-02-03,23485.0,23890.0,23340.0,23665.0,6471
2023-02-06,23110.0,23275.0,22755.0,23100.0,4857
2023-02-07,23300.0,23460.0,22725.0,22960.0,5725
2023-02-08,22885.0,23540.0,22695.0,23300.0,5590
2023-02-09,22010.0,23085.0,21720.0,23015.0,10270
2023-02-10,21775.0,21970.0,21505.0,21825.0,6154
2023-02-13,21710.0,21930.0,21380.0,21820.0,7442
2023-02-14,22335.0,22375.0,21575.0,21700.0,8590
2023-02-15,24250.0,24415.0,22100.0,22270.0,10953
2023-02-16,24640.0,25345.0,24245.0,24285.0,16546
2023-02-17,24870.0,25095.0,23430.0,24080.0,12414
2023-02-21,24490.0,25335.0,23905.0,24505.0,19029
2023-02-22,23800.0,24495.0,23590.0,24395.0,13563
2023-02-23,23920.0,24610.0,23620.0,24100.0,11773
2023-02-24,23576.05078125,24100.0,23560.0,23880.0,12099
2023-02-27,23445.0,24060.0,23235.0,23565.0,6664
2023-02-28,23410.0,23780.0,23150.0,23585.0,4903
2023-03-01,23530.0,24165.0,23140.0,23275.0,6343
2023-03-02,23590.0,23925.0,23300.0,23645.0,4721
2023-03-03,22320.0,23615.0,22020.0,23560.0,12038
2023-03-06,22390.0,22665.0,22300.0,22455.0,4800
2023-03-07,22070.0,22600.0,21940.0,22455.0,6742
2023-03-08,22115.0,22300.0,21880.0,22100.0,6280
2023-03-09,20065.0,21850.0,19960.0,21800.0,14035
2023-03-10,19965.0,20330.0,19520.0,20300.0,13496
2023-03-13,24405.0,24620.0,21110.0,21250.0,28142
2023-03-14,25240.0,26615.0,24030.0,24230.0,16272
2023-03-15,24490.0,25440.0,24005.0,24655.0,13885
2023-03-16,25090.0,25300.0,24250.0,24610.0,6503
2023-03-17,27000.0,27155.0,25000.0,25040.0,12866
2023-03-20,27945.0,28715.0,27320.0,28095.0,9810
2023-03-21,28310.0,28680.0,27555.0,28150.0,6288
2023-03-22,26800.0,29045.0,26700.0,28210.0,10975
2023-03-23,28550.0,28935.0,27075.0,27200.0,11418
2023-03-24,27915.0,28570.0,27480.0,28385.0,5845
2023-03-27,26980.0,28240.0,26520.0,27960.0,11152
2023-03-28,27455.0,27545.0,26650.0,27175.0,9898
2023-03-29,28440.0,28685.0,27170.0,27170.0,9845
2023-03-30,27965.0,29220.0,27680.0,28355.0,9730
2023-03-31,28476.5,28625.0,27620.0,28090.0,6392
2023-04-03,28265.0,28775.0,27595.0,28540.0,7861
2023-04-04,28375.0,28650.0,27855.0,27930.0,6996
2023-04-05,28385.0,28985.0,27935.0,28390.0,8243
2023-04-06,28140.0,28350.0,27765.0,28350.0,1295
2023-04-10,29420.0,29670.0,28265.0,28505.0,9746
2023-04-11,30325.0,30775.0,29435.0,29445.0,8509
2023-04-12,29925.0,30710.0,29800.0,30365.0,5859
2023-04-13,30530.0,30900.0,29940.0,30035.0,5866
2023-04-14,30470.0,31200.0,30065.0,30445.0,7294
2023-04-17,29550.0,30585.0,29285.0,30585.0,6895
2023-04-18,30325.0,30590.0,29145.0,29555.0,5579
2023-04-19,29265.0,30520.0,29010.0,30435.0,7617
2023-04-20,28095.0,29255.0,27985.0,29195.0,7611
2023-04-21,27310.0,28360.0,27195.0,28240.0,6273
2023-04-24,27400.0,28010.0,26980.0,27425.0,7463
